author,merged_pr_count,reverted_pr_count,avg_complexity_score,avg_quality_score,reviews_given,comments_on_others_prs,avg_turnaround_hours,score_complexity,score_quality,score_reviews,score_collaboration,score_velocity,revert_penalty,impact_score
pauldambra,170,0,2.86,3.64,1054,14,17.9,30.0,25.0,20.0,5.1,0.9,0,81.1
sampennington,121,0,3.17,3.86,418,17,14.8,23.7,18.9,7.9,6.2,0.8,0,57.5
andrewm4894,77,0,3.14,3.7,797,11,74.9,14.9,11.5,15.1,4.0,0.1,0,45.6
webjunkie,94,1,2.95,3.46,238,26,43.4,17.1,13.1,4.5,9.5,0.2,5,39.4
Gilbert09,79,0,3.11,3.63,245,4,44.2,15.1,11.6,4.6,1.5,0.2,0,33.0
jurajmajerik,66,0,2.52,4.08,168,12,5.0,10.2,10.9,3.2,4.4,1.3,0,30.0
rnegron,75,1,2.53,3.93,194,17,57.2,11.7,11.9,3.7,6.2,0.1,5,28.6
jonmcwest,70,0,2.93,3.89,52,5,12.6,12.6,11.0,1.0,1.8,0.6,0,27.0
sortafreel,16,0,3.06,3.25,337,41,30.3,3.0,2.1,6.4,15.0,0.1,0,26.5
rafaeelaudibert,26,0,3.04,3.42,445,22,18.6,4.8,3.6,8.4,8.0,0.1,0,25.0
skoob13,44,0,2.93,3.68,190,14,28.0,7.9,6.5,3.6,5.1,0.2,0,23.3
MattBro,41,0,3.2,3.66,397,3,54.2,8.1,6.0,7.5,1.1,0.1,0,22.8
thmsobrmlr,51,0,2.57,3.86,172,8,21.6,8.0,7.9,3.3,2.9,0.2,0,22.4
lricoy,49,1,2.84,3.76,172,19,29.2,8.5,7.4,3.3,7.0,0.2,5,21.3
haacked,30,0,3.13,3.8,394,8,31.9,5.7,4.6,7.5,2.9,0.1,0,20.8
tatoalo,41,0,2.93,3.71,212,5,11.8,7.4,6.1,4.0,1.8,0.3,0,19.7
fercgomes,33,0,2.94,3.67,235,11,55.9,5.9,4.9,4.5,4.0,0.1,0,19.3
veryayskiy,42,0,2.9,3.5,216,0,14.0,7.5,5.9,4.1,0.0,0.3,0,17.8
richardsolomou,38,0,3.13,3.84,208,1,52.0,7.3,5.9,3.9,0.4,0.1,0,17.5
robbie-c,44,0,2.82,3.75,96,3,18.0,7.6,6.6,1.8,1.1,0.2,0,17.4
MarconLP,41,0,2.76,3.8,135,4,37.2,6.9,6.3,2.6,1.5,0.1,0,17.3
dmarticus,28,0,2.79,3.71,250,8,53.2,4.8,4.2,4.7,2.9,0.1,0,16.7
gantoine,18,0,2.78,3.39,269,16,22.4,3.0,2.4,5.1,5.9,0.1,0,16.5
adamleithp,37,0,2.84,3.76,146,4,20.3,6.4,5.6,2.8,1.5,0.2,0,16.4
eli-r-ph,25,0,2.84,3.72,342,4,17.2,4.3,3.7,6.5,1.5,0.1,0,16.1
a-lider,33,0,2.91,3.48,192,5,48.0,5.9,4.6,3.6,1.8,0.1,0,16.0
TueHaulund,29,0,2.86,3.66,217,6,26.3,5.1,4.3,4.1,2.2,0.1,0,15.7
Twixes,29,0,2.83,3.62,189,7,53.8,5.0,4.2,3.6,2.6,0.1,0,15.4
mariusandra,36,0,2.75,3.81,154,2,35.3,6.1,5.5,2.9,0.7,0.1,0,15.3
adboio,1,0,3.0,4.0,51,10,0.0,0.1,0.1,1.0,3.7,10.0,0,14.9
jose-sequeira,19,0,3.11,3.79,223,11,9.7,3.6,2.9,4.2,4.0,0.2,0,14.9
Piccirello,17,0,2.71,3.59,206,13,27.1,2.8,2.4,3.9,4.8,0.1,0,13.9
tomasfarias,19,0,2.63,3.58,273,7,33.3,3.0,2.7,5.2,2.6,0.1,0,13.5
ablaszkiewicz,20,0,2.9,3.55,349,1,25.0,3.5,2.8,6.6,0.4,0.1,0,13.4
cat-ph,33,0,2.85,3.94,97,1,61.2,5.8,5.2,1.8,0.4,0.1,0,13.2
mp-hog,27,0,2.89,3.7,89,7,24.7,4.8,4.0,1.7,2.6,0.1,0,13.1
nickbest-ph,30,0,2.8,3.47,136,3,20.6,5.1,4.2,2.6,1.1,0.1,0,13.1
MattPua,22,0,2.86,3.68,115,9,44.1,3.8,3.2,2.2,3.3,0.0,0,12.6
gesh,28,0,2.75,3.75,97,4,14.7,4.7,4.2,1.8,1.5,0.2,0,12.4
VojtechBartos,27,0,2.89,3.63,131,3,39.3,4.8,3.9,2.5,1.1,0.1,0,12.3
gustavohstrassburger,23,0,3.13,3.26,141,6,76.7,4.4,3.0,2.7,2.2,0.0,0,12.3
hpouillot,24,0,2.92,3.71,189,2,20.8,4.3,3.6,3.6,0.7,0.1,0,12.3
joshsny,21,0,2.71,3.48,200,5,12.9,3.5,2.9,3.8,1.8,0.2,0,12.2
yasen-posthog,25,0,3.12,3.4,192,1,104.8,4.8,3.4,3.6,0.4,0.0,0,12.2
frankh,27,0,2.78,3.48,116,4,34.3,4.6,3.8,2.2,1.5,0.1,0,12.1
lucasheriques,25,0,2.92,3.6,101,5,10.9,4.5,3.6,1.9,1.8,0.2,0,12.0
sakce,22,0,3.0,3.55,154,5,80.3,4.0,3.1,2.9,1.8,0.0,0,11.9
vdekrijger,20,0,2.95,3.6,256,1,77.7,3.6,2.9,4.9,0.4,0.0,0,11.7
danielcarletti,22,0,3.05,3.41,139,5,32.6,4.1,3.0,2.6,1.8,0.1,0,11.6
benjackwhite,27,0,3.19,3.59,84,2,65.2,5.3,3.9,1.6,0.7,0.0,0,11.5
orian,20,0,2.95,3.1,106,9,20.0,3.6,2.5,2.0,3.3,0.1,0,11.5
andehen,26,0,2.92,3.96,122,0,27.1,4.6,4.1,2.3,0.0,0.1,0,11.2
dmarchuk,27,0,2.52,3.93,111,0,36.3,4.1,4.3,2.1,0.0,0.1,0,10.6
jordanm-posthog,28,0,2.68,3.5,62,2,13.4,4.6,3.9,1.2,0.7,0.2,0,10.6
cvolzer3,24,0,2.75,3.71,62,3,40.5,4.0,3.6,1.2,1.1,0.1,0,9.9
andyzzhao,12,0,3.25,3.42,186,6,49.1,2.3,1.6,3.5,2.2,0.0,0,9.7
arthurdedeus,21,0,3.0,3.43,115,1,73.5,3.8,2.9,2.2,0.4,0.0,0,9.3
fasyy612,19,0,2.68,3.47,165,1,47.3,3.1,2.6,3.1,0.4,0.0,0,9.3
ksvat,24,0,2.58,3.88,67,1,25.0,3.8,3.7,1.3,0.4,0.1,0,9.2
Radu-Raicea,9,0,2.78,3.78,216,6,67.6,1.5,1.3,4.1,2.2,0.0,0,9.1
DanielVisca,25,0,2.88,3.44,27,1,8.9,4.4,3.4,0.5,0.4,0.3,0,9.0
carlos-marchal-ph,18,0,3.0,3.56,114,2,35.9,3.3,2.6,2.2,0.7,0.0,0,8.8
marandaneto,10,0,2.6,3.7,49,12,6.7,1.5,1.5,0.9,4.4,0.1,0,8.5
andrewjmcgehee,7,0,3.43,3.43,129,10,141.7,1.4,0.9,2.4,3.7,0.0,0,8.5
oliverb123,12,0,2.83,3.17,257,0,17.9,2.0,1.5,4.9,0.0,0.1,0,8.5
georgemunyoro,14,0,3.71,4.0,157,0,82.4,3.1,2.2,3.0,0.0,0.0,0,8.4
estefaniarabadan,18,0,2.78,3.44,142,0,51.7,3.0,2.5,2.7,0.0,0.0,0,8.2
matheus-vb,14,0,3.64,3.57,85,3,84.5,3.1,2.0,1.6,1.1,0.0,0,7.8
rodrigoi,14,0,3.29,3.21,133,2,65.7,2.8,1.8,2.5,0.7,0.0,0,7.8
ReeceJones,17,0,2.82,3.94,106,0,49.6,2.9,2.7,2.0,0.0,0.0,0,7.6
meikelmosby,19,0,2.58,3.37,103,0,19.1,3.0,2.6,2.0,0.0,0.1,0,7.6
z0br0wn,11,0,3.36,3.45,176,1,59.4,2.2,1.5,3.3,0.4,0.0,0,7.4
rossgray,12,0,2.58,3.92,179,0,15.2,1.9,1.9,3.4,0.0,0.1,0,7.2
jabahamondes,15,0,3.27,4.13,53,1,79.7,3.0,2.5,1.0,0.4,0.0,0,6.8
christiaan-ph,14,0,2.36,3.93,15,5,20.5,2.0,2.2,0.3,1.8,0.1,0,6.3
patricio-posthog,8,0,2.62,3.75,100,5,16.5,1.2,1.2,1.9,1.8,0.0,0,6.2
pl,11,0,2.82,4.0,117,0,37.3,1.9,1.7,2.2,0.0,0.0,0,5.8
havenbarnes,3,0,2.67,3.33,157,5,5.2,0.4,0.4,3.0,1.8,0.1,0,5.7
brandonleung,15,0,2.73,3.87,26,0,36.1,2.5,2.3,0.5,0.0,0.0,0,5.3
aspicer,7,0,3.29,3.43,24,4,64.9,1.4,0.9,0.5,1.5,0.0,0,4.2
feliperalmeida,9,0,2.89,3.78,29,2,11.7,1.5,1.3,0.6,0.7,0.1,0,4.2
rorylshanks,3,0,2.33,3.33,76,4,6.4,0.4,0.4,1.4,1.5,0.0,0,3.7
bciaraldi,10,0,2.4,4.0,28,0,33.2,1.4,1.6,0.5,0.0,0.0,0,3.6
xljones,10,0,2.7,4.0,17,0,32.8,1.6,1.6,0.3,0.0,0.0,0,3.5
pawel-cebula,2,0,2.0,2.5,57,5,8.4,0.2,0.2,1.1,1.8,0.0,0,3.3
luke-belton,6,0,1.83,4.67,14,2,9.8,0.6,1.1,0.3,0.7,0.1,0,2.8
abhischekt,4,0,2.5,3.75,80,0,29.2,0.6,0.6,1.5,0.0,0.0,0,2.7
mcoll-posthog,7,0,3.14,3.57,21,0,26.8,1.3,1.0,0.4,0.0,0.0,0,2.7
k11kirky,6,0,3.0,3.67,21,0,7.2,1.1,0.9,0.4,0.0,0.1,0,2.4
EDsCODE,6,0,3.17,3.33,15,0,3.7,1.1,0.8,0.3,0.0,0.2,0,2.3
ryans-posthog,6,0,3.17,3.0,16,0,37.1,1.1,0.7,0.3,0.0,0.0,0,2.1
charlesvien,5,0,3.0,3.0,14,1,39.2,0.9,0.6,0.3,0.4,0.0,0,2.1
slshults,4,0,3.25,4.0,21,0,39.2,0.7,0.6,0.4,0.0,0.0,0,1.8
ioannisj,3,0,1.67,4.0,15,1,0.9,0.2,0.4,0.3,0.4,0.3,0,1.7
nicowaltz,5,0,2.6,3.2,16,0,11.9,0.7,0.6,0.3,0.0,0.0,0,1.7
langesven,2,0,2.5,4.5,10,2,6.5,0.2,0.3,0.2,0.7,0.0,0,1.5
jonathanlab,4,0,3.0,3.25,15,0,94.6,0.7,0.5,0.3,0.0,0.0,0,1.5
fivestarspicy,3,0,4.0,4.33,12,0,90.0,0.7,0.5,0.2,0.0,0.0,0,1.4
gewenyu99,2,0,3.0,3.5,11,1,1.2,0.3,0.2,0.2,0.4,0.2,0,1.3
willwearing,4,0,3.0,4.0,2,0,19.3,0.7,0.6,0.0,0.0,0.0,0,1.3
timgl,4,0,3.0,3.5,1,0,84.9,0.7,0.5,0.0,0.0,0.0,0,1.2
Daesgar,2,0,2.0,5.0,13,0,0.6,0.2,0.4,0.2,0.0,0.4,0,1.2
fuziontech,2,0,3.5,4.0,27,0,9.0,0.4,0.3,0.5,0.0,0.0,0,1.2
arnaudhillen,3,0,3.33,3.0,7,0,21.8,0.6,0.3,0.1,0.0,0.0,0,1.0
clr182,3,0,3.0,3.33,6,0,42.1,0.5,0.4,0.1,0.0,0.0,0,1.0
dustinbyrne,2,0,2.5,4.0,24,0,8.3,0.2,0.3,0.5,0.0,0.0,0,1.0
matt-metivier,1,0,1.0,5.0,19,1,10.6,0.0,0.2,0.4,0.4,0.0,0,0.9
HaynesPostHog,3,0,2.0,3.67,0,0,5.8,0.3,0.4,0.0,0.0,0.1,0,0.8
ordehi,3,0,2.33,3.67,2,0,59.0,0.4,0.4,0.0,0.0,0.0,0,0.8
turnipdabeets,2,0,3.0,3.5,4,0,2.9,0.3,0.2,0.1,0.0,0.1,0,0.7
andre347,1,0,3.0,3.0,0,0,0.3,0.1,0.1,0.0,0.0,0.4,0,0.6
darkopia,2,0,2.5,4.0,2,0,7.9,0.2,0.3,0.0,0.0,0.0,0,0.6
smallbrownbike,1,0,1.0,5.0,0,0,0.3,0.0,0.2,0.0,0.0,0.4,0,0.5
sarahxsanders,1,0,2.0,3.0,2,0,0.4,0.1,0.1,0.0,0.0,0.3,0,0.5
